,cust,male,ages,zon_hlv,most_common_visiting,max_buy_am,most_common_time,Lpay_user,twice_product
0,M000034966,0,40,Z07,Z07,65700.0,16,0,10
1,M000136117,0,30,Z11,Z14,2612000.0,15,1,15
2,M000201112,0,50,Z17,Z10,8000.0,15,0,2
3,M000225114,0,40,Z17,Z17,129000.0,18,0,28
4,M000261625,0,40,Z17,Z17,1160000.0,18,0,16
5,M000350564,0,60,Z10,Z12,1120000.0,12,0,6
6,M000419293,0,40,Z17,Z17,260100.0,19,1,12
7,M000494848,0,30,Z10,Z10,2991000.0,12,1,69
8,M000504230,0,30,Z05,Z17,289000.0,16,0,23
9,M000508243,0,50,Z17,Z17,478000.0,20,0,9
10,M000555652,1,50,Z10,Z10,245400.0,[13 15],0,3
11,M000557840,1,30,Z11,Z11,299000.0,18,1,59
12,M000621637,0,40,Z11,Z11,3030000.0,11,0,38
13,M000658311,0,20,Z16,Z16,29900.0,18,0,1
14,M000705571,0,40,Z17,Z10,49800.0,17,0,60
15,M000713279,0,50,Z12,Z12,39000.0,18,0,0
16,M000803099,0,50,Z03,['Z03' 'Z16'],286200.0,17,0,0
17,M000859319,1,70,Z17,Z17,11500.0,14,0,0
18,M000871427,0,20,Z10,Z10,359000.0,18,1,13
19,M000986912,0,30,Z10,Z10,69000.0,16,1,19
20,M001080017,0,30,Z17,Z03,44300.0,19,0,0
21,M001086020,1,50,Z17,[],22800.0,1,0,0
22,M001231653,0,60,Z17,Z17,73500.0,12,0,41
23,M001248380,0,30,Z10,[],50000.0,23,1,3
24,M001332751,0,30,Z06,Z06,60900.0,18,0,80
25,M001353506,0,40,Z14,Z14,87600.0,21,0,16
26,M001403108,1,20,Z10,Z11,25000.0,11,1,12
27,M001405587,1,30,Z10,Z17,162500.0,16,0,8
28,M001437402,1,50,Z06,Z17,46900.0,16,0,21
29,M001444118,1,30,Z17,Z17,3850000.0,19,1,93
30,M001464035,0,30,Z01,Z01,9990.0,12,0,2
31,M001521411,0,40,Z04,Z04,36300.0,[12 16],1,24
32,M001626218,1,40,Z10,Z17,47100.0,11,0,0
33,M001639664,0,40,Z09,Z09,128000.0,21,0,49
34,M001640580,1,30,Z09,Z17,12900.0,17,0,37
35,M001676416,0,30,Z15,Z11,8900.0,12,0,0
36,M001694463,1,40,Z14,Z14,340000.0,19,0,36
37,M001697471,1,40,Z17,Z17,119900.0,12,1,16
38,M001697472,1,50,Z16,Z16,2339000.0,11,0,2
39,M001698984,0,50,Z10,Z17,25900.0,15,0,14
40,M001714196,0,40,Z17,Z17,299000.0,12,1,59
41,M001719436,0,40,Z10,Z10,10700.0,16,0,1
42,M001729158,0,40,Z03,Z16,159000.0,14,0,67
43,M001796054,0,50,Z08,Z08,85000.0,14,0,56
44,M001808316,1,30,Z17,Z17,809760.0,[11 12],1,23
45,M001826589,0,40,Z09,Z09,275400.0,14,0,19
46,M001871581,1,50,Z17,Z11,36000.0,13,0,0
47,M001932188,0,30,Z04,Z04,72000.0,16,1,15
48,M001964634,1,40,Z12,Z11,149900.0,14,0,0
49,M001996055,0,60,Z11,Z11,240000.0,11,0,9
50,M002009440,0,30,Z16,Z11,341400.0,13,1,33
51,M002102710,0,30,Z12,Z12,137600.0,15,0,4
52,M002122238,0,20,Z07,Z07,9000.0,18,0,25
53,M002181288,1,60,Z11,Z11,88000.0,16,0,45
54,M002186187,1,40,Z04,Z04,44900.0,20,1,22
55,M002188008,1,20,Z17,Z17,6300.0,10,0,4
56,M002238144,0,20,Z16,Z16,95000.0,13,0,61
57,M002352655,1,20,Z17,Z15,1875000.0,12,1,15
58,M002476170,1,50,Z17,Z17,5270000.0,15,1,13
59,M002516882,0,30,Z17,Z17,2590000.0,17,0,9
60,M002631028,1,40,Z11,Z11,38000.0,[15 18],0,0
61,M002712183,1,30,Z10,Z17,143400.0,19,0,11
62,M002867247,0,40,Z10,Z10,279000.0,[16 19],0,0
63,M002867841,1,40,Z16,Z16,169000.0,13,0,3
64,M002900547,1,40,Z10,Z10,136100.0,15,0,7
65,M002944916,1,50,Z10,Z10,273000.0,13,0,6
66,M002968688,1,40,Z17,Z17,43500.0,11,0,0
67,M003005564,0,20,Z17,Z16,43100.0,18,0,1
68,M003178578,1,60,Z17,Z17,270000.0,12,0,31
69,M003213142,0,60,Z14,Z14,99000.0,13,0,0
70,M003230318,0,30,Z10,Z10,68600.0,16,0,0
71,M003281441,0,40,Z10,Z10,230000.0,17,0,9
72,M003342315,1,50,Z17,Z17,83880.0,15,0,1
73,M003411495,0,50,Z16,Z16,15900.0,16,0,11
74,M003423693,1,30,Z04,Z04,32900.0,12,1,3
75,M003427143,1,40,Z10,Z10,163000.0,12,1,12
76,M003468477,0,30,Z17,Z17,36000.0,14,0,1
77,M003490042,0,20,Z10,Z10,27000.0,11,0,7
78,M003512783,0,60,Z05,Z05,12480.0,12,0,0
79,M003528940,1,50,Z17,Z17,233000.0,20,1,17
80,M003531710,0,30,Z17,Z17,8610000.0,16,0,115
81,M003563148,0,40,Z09,Z09,40500.0,15,0,54
82,M003574741,1,40,Z17,Z10,153100.0,18,1,7
83,M003641896,0,50,Z10,Z10,2244000.0,15,0,37
84,M003673750,1,50,Z13,Z13,159000.0,16,1,52
85,M003765725,0,40,Z10,Z10,135000.0,18,1,73
86,M003803545,0,40,Z16,Z16,148000.0,12,1,137
87,M003827618,1,40,Z13,Z17,30000.0,10,0,81
88,M003834772,0,40,Z17,Z17,34344.0,19,1,58
89,M003842970,0,30,Z08,Z10,599000.0,17,1,22
90,M003847817,0,30,Z10,Z10,199000.0,20,0,2
91,M003872277,1,50,Z16,Z16,72000.0,20,0,23
92,M003918629,0,40,Z10,Z10,14850.0,12,0,2
93,M003948947,0,30,Z17,Z17,6500000.0,16,0,6
94,M003972434,0,30,Z10,Z10,107610.0,15,1,8
95,M003978013,0,40,Z10,Z10,120000.0,10,1,77
96,M004056262,0,30,Z10,Z10,165000.0,17,0,21
97,M004292419,1,50,Z17,Z10,426600.0,18,0,10
98,M004338856,0,50,Z17,Z17,390000.0,16,1,101
99,M004368674,0,40,Z10,Z17,35200.0,11,1,10
100,M004382321,0,20,Z10,Z17,60480.0,9,1,9
101,M004430311,1,40,Z17,Z17,85000.0,15,1,12
102,M004434460,1,30,Z10,Z06,57600.0,20,0,28
103,M004452072,0,30,Z06,Z06,276000.0,10,1,7
104,M004494018,1,30,Z10,Z16,3600.0,12,0,0
105,M004540352,0,20,Z10,Z17,19900.0,20,0,0
106,M004587507,0,30,Z16,['Z10' 'Z17'],3450000.0,[ 1 20],1,1
107,M004593982,0,20,Z16,Z16,1270000.0,13,1,35
108,M004595449,0,40,Z17,Z17,59800.0,11,0,0
109,M004599697,1,40,Z15,Z08,451000.0,19,0,38
110,M004601295,0,50,Z15,Z10,49000.0,15,0,1
111,M004610895,1,40,Z17,[],73000.0,12,0,0
112,M004701344,0,20,Z10,Z10,1399000.0,[17 19],1,13
113,M004725109,0,40,Z17,Z17,1210000.0,21,1,114
114,M004743281,0,40,Z05,Z05,1329000.0,14,1,17
115,M004831050,1,40,Z12,Z12,445700.0,18,1,18
116,M004839058,1,40,Z13,Z13,570000.0,16,1,49
117,M004843031,0,20,Z17,Z07,59800.0,21,0,16
118,M004843133,1,30,Z10,Z10,72000.0,10,1,38
119,M004916501,0,40,Z08,Z17,34000.0,17,0,31
120,M004998385,1,30,Z10,Z10,288000.0,14,0,3
121,M005071497,0,30,Z10,Z10,344000.0,21,0,15
122,M005113779,1,50,Z10,Z10,60000.0,17,0,49
123,M005113806,0,50,Z17,Z17,216000.0,14,1,43
124,M005190060,0,30,Z09,Z09,327000.0,14,0,99
125,M005209297,0,50,Z17,Z17,173000.0,18,1,57
126,M005233669,0,20,Z05,Z05,31108.0,19,0,6
127,M005297673,0,40,Z10,Z10,848000.0,17,0,6
128,M005317556,1,30,Z17,Z17,1320000.0,18,0,0
129,M005360407,0,40,Z10,Z10,2390000.0,14,1,9
130,M005392126,1,40,Z17,Z17,279000.0,17,1,59
131,M005448564,0,30,Z04,Z04,1040000.0,17,0,61
132,M005462100,0,60,Z14,Z14,59000.0,11,0,0
133,M005484498,0,60,Z11,Z11,867300.0,16,0,71
134,M005515605,1,40,Z10,Z10,429600.0,16,0,11
135,M005539469,1,40,Z17,Z17,111200.0,16,0,4
136,M005565524,1,40,Z08,Z08,13440.0,19,0,1
137,M005646515,1,40,Z11,Z11,100600.0,11,0,23
138,M005665716,1,40,Z16,Z16,79800.0,21,0,58
139,M005701809,0,40,Z10,Z10,654000.0,1,1,22
140,M005714647,1,30,Z11,Z11,29900.0,14,0,1
141,M005731374,1,20,Z05,Z08,287000.0,15,0,10
142,M005756325,0,60,Z10,Z10,200000.0,13,0,15
143,M005802062,0,20,Z12,Z03,5120.0,16,0,1
144,M005930833,0,50,Z16,Z16,1048000.0,15,1,47
145,M005931829,0,30,Z10,Z10,59000.0,10,0,94
146,M005951417,0,30,Z10,Z10,183200.0,17,0,53
147,M005978086,1,40,Z17,Z17,843000.0,19,0,5
148,M006026730,0,20,Z17,Z17,38600.0,12,0,20
149,M006060731,0,60,Z07,Z17,334000.0,15,0,23
150,M006101185,0,30,Z16,Z16,979000.0,15,1,52
151,M006103201,0,50,Z13,Z13,215000.0,15,1,76
152,M006114154,1,40,Z10,Z10,185000.0,16,1,54
153,M006155904,0,50,Z10,Z10,16980.0,18,1,33
154,M006156170,1,50,Z05,Z05,158000.0,11,0,51
155,M006189359,0,30,Z11,Z11,199000.0,19,0,29
156,M006201429,0,40,Z10,Z10,276000.0,20,0,85
157,M006216667,0,50,Z06,Z06,286800.0,[15 18],0,35
158,M006260135,0,60,Z01,Z01,23600.0,15,0,2
159,M006272431,1,50,Z11,Z11,2759000.0,20,1,100
160,M006276409,0,30,Z17,Z17,5140000.0,21,1,6
161,M006333495,0,60,Z11,Z11,66240.0,11,0,33
162,M006338386,0,40,Z10,Z06,627200.0,14,0,9
163,M006358338,1,20,Z04,Z04,390000.0,16,1,6
164,M006407679,0,50,Z17,Z10,615000.0,20,0,156
165,M006422356,0,40,Z13,Z13,89880.0,15,1,52
166,M006429452,0,40,Z10,Z10,614110.0,19,0,11
167,M006453588,1,30,Z13,Z13,210000.0,18,1,43
168,M006466671,0,50,Z08,Z08,49800.0,17,0,10
169,M006627098,0,30,Z17,Z03,2650000.0,18,0,76
170,M006658403,0,30,Z16,Z16,710000.0,15,0,25
171,M006679751,0,20,Z04,Z04,690000.0,20,1,24
172,M006703537,0,40,Z17,Z17,2050000.0,15,0,21
173,M006704643,0,30,Z16,Z16,249000.0,15,0,9
174,M006712731,1,40,Z17,[],93100.0,12,0,0
175,M006725113,0,60,Z16,Z16,138960.0,16,0,10
176,M006727302,0,60,Z10,Z10,114000.0,12,0,17
177,M006728866,1,40,Z10,Z10,980000.0,15,1,13
178,M006775596,0,30,Z17,Z17,629100.0,[19 20],1,35
179,M006826436,0,40,Z16,Z16,1547640.0,13,0,17
180,M006865239,0,20,Z06,Z06,5990.0,20,0,3
181,M006902585,0,40,Z10,Z10,183000.0,18,0,61
182,M006904172,0,20,Z16,Z16,4865000.0,7,1,52
183,M006947340,0,60,Z16,Z16,39900.0,17,0,22
184,M006962764,1,30,Z17,[],65520.0,10,1,4
185,M006976766,0,50,Z09,[],268000.0,9,0,0
186,M006985653,1,20,Z10,Z10,149000.0,14,1,9
187,M006994878,1,50,Z13,Z13,12800.0,19,0,1
188,M006997862,0,30,Z17,Z17,1990000.0,16,1,139
189,M007005601,1,30,Z10,Z10,82000.0,14,0,11
190,M007196501,0,40,Z13,Z13,686400.0,15,1,60
191,M007207067,1,50,Z12,Z14,89000.0,12,0,27
192,M007229712,0,30,Z10,Z10,171600.0,20,1,17
193,M007319872,0,50,Z12,Z04,2950000.0,16,0,21
194,M007349628,1,50,Z10,Z10,21707.0,18,0,27
195,M007354680,0,50,Z17,Z10,238000.0,16,0,8
196,M007463920,1,40,Z08,Z08,540000.0,18,1,33
197,M007486580,0,20,Z16,Z17,51000.0,18,0,15
198,M007486863,0,40,Z17,Z17,167400.0,18,0,10
199,M007490836,1,30,Z10,Z17,394560.0,16,1,9
200,M007523105,0,60,Z10,Z10,198000.0,11,0,3
201,M007569854,0,40,Z09,Z09,194000.0,12,1,66
202,M007710522,0,30,Z10,Z17,3000000.0,18,0,23
203,M007711011,0,60,Z11,Z11,90000.0,14,0,10
204,M007745030,0,30,Z10,Z10,169000.0,19,0,12
205,M007808106,1,30,Z08,Z10,85000.0,[17 19],1,7
206,M007808151,1,30,Z10,Z10,1992000.0,19,0,24
207,M007909147,0,40,Z17,Z17,463000.0,12,0,25
208,M008076951,1,40,Z10,Z10,109000.0,18,0,43
209,M008123058,1,50,Z09,Z09,50000.0,18,1,14
210,M008146645,0,40,Z16,Z16,594000.0,17,0,69
211,M008254198,0,60,Z10,Z17,17800.0,[10 13],0,2
212,M008269534,0,40,Z13,Z13,777600.0,16,1,84
213,M008280181,0,40,Z10,Z10,349000.0,15,1,54
214,M008396737,0,40,Z12,Z12,2890000.0,19,1,30
215,M008453799,1,50,Z14,Z14,1840000.0,15,0,24
216,M008454401,0,30,Z10,Z10,389000.0,17,0,65
217,M008527766,1,30,Z17,Z17,3109000.0,15,1,6
218,M008539255,0,50,Z05,Z10,55200.0,20,0,18
219,M008574645,0,50,Z05,Z05,48127.0,18,0,32
220,M008579659,1,30,Z17,Z17,360000.0,17,0,17
221,M008598245,0,50,Z17,Z10,27100.0,[10 13],0,0
222,M008722896,1,30,Z10,Z17,229000.0,[17 18],1,20
223,M008787005,1,40,Z13,Z13,9800.0,18,0,8
224,M008809647,1,40,Z10,Z14,1311000.0,15,1,12
225,M008858450,0,30,Z10,Z10,128000.0,17,0,12
226,M008864908,1,30,Z04,[],159000.0,10,1,2
227,M008923069,0,50,Z10,Z10,199000.0,18,0,7
228,M008935564,0,20,Z04,Z04,129000.0,20,0,50
229,M008960015,1,50,Z01,Z17,20000.0,12,1,8
230,M008962563,0,50,Z17,Z17,27800.0,21,0,136
231,M009032626,1,20,Z16,Z16,220000.0,13,0,36
232,M009037939,0,40,Z11,Z11,418600.0,18,0,52
233,M009092385,0,70,Z11,Z11,538200.0,12,0,2
234,M009092500,0,40,Z09,Z09,1040400.0,14,0,15
235,M009102336,0,40,Z10,Z10,65000.0,19,1,12
236,M009109982,0,60,Z17,Z17,5700000.0,15,1,22
237,M009120822,0,50,Z11,Z11,1234000.0,12,1,44
238,M009183049,0,60,Z04,Z04,150000.0,16,0,91
239,M009206232,0,20,Z04,Z10,649000.0,18,0,11
240,M009233630,1,50,Z07,Z07,749000.0,17,0,21
241,M009278577,1,30,Z12,Z17,288000.0,21,0,32
242,M009298760,0,40,Z10,Z10,37400.0,15,1,13
243,M009326002,0,40,Z10,Z10,31000.0,17,0,33
244,M009331919,0,40,Z01,Z01,39900.0,12,0,15
245,M009390126,0,50,Z10,Z04,2072000.0,18,0,16
246,M009406532,0,50,Z08,Z10,50000.0,12,0,1
247,M009432696,1,40,Z04,Z04,40000.0,18,0,50
248,M009432951,1,50,Z11,Z17,99000.0,17,0,38
249,M009475811,0,30,Z17,Z17,513000.0,17,0,44
250,M009491102,1,40,Z17,Z10,284000.0,18,1,26
251,M009541134,1,30,Z10,Z10,238800.0,15,0,58
252,M009664307,0,40,Z10,Z10,568400.0,18,0,5
253,M009682567,0,40,Z17,Z17,99000.0,15,0,4
254,M009723110,1,40,Z13,Z13,201250.0,12,0,41
255,M009729859,0,50,Z17,Z17,69800.0,10,0,63
256,M009731870,0,70,Z17,Z17,528000.0,10,0,71
257,M009754131,0,40,Z04,Z04,198000.0,20,0,65
258,M009962161,1,40,Z12,Z12,277000.0,12,0,16
259,M009979598,0,30,Z10,Z10,1680000.0,15,0,21
260,M009983001,1,60,Z10,Z10,599000.0,17,0,9
261,M010031285,0,30,Z16,Z16,69040.0,17,1,24
