,cust,user_total_items,total_distinct_items,user_average_basket,weekday_rate,weekend_rate
0,M430112881,580,168,5.686274509803922,0.8627450980392157,0.13725490196078427
1,M646853852,407,147,4.195876288659794,0.7835051546391752,0.21649484536082475
8,M669384418,122,62,2.7111111111111112,0.7555555555555555,0.24444444444444446
10,M886923095,123,50,1.8088235294117647,0.7794117647058824,0.22058823529411764
11,M707991383,385,145,1.6452991452991452,0.41025641025641024,0.5897435897435898
15,M117855953,136,71,3.7777777777777777,0.5,0.5
16,M641274652,72,26,3.6,0.75,0.25
17,M625839441,104,56,4.0,0.7307692307692307,0.2692307692307693
18,M284446967,52,25,2.1666666666666665,0.5833333333333334,0.41666666666666663
21,M401266932,304,123,3.848101265822785,0.4050632911392405,0.5949367088607596
23,M860973355,199,65,2.763888888888889,0.5972222222222222,0.4027777777777778
24,M686795542,468,120,1.8645418326693226,0.6852589641434262,0.31474103585657376
27,M878181490,102,65,2.6842105263157894,0.7368421052631579,0.26315789473684215
34,M704866277,210,76,8.076923076923077,0.15384615384615385,0.8461538461538461
36,M942878878,265,91,1.6666666666666667,0.3522012578616352,0.6477987421383649
39,M174599398,79,46,1.6458333333333333,0.625,0.375
42,M651841347,86,20,3.909090909090909,0.4090909090909091,0.5909090909090908
44,M577884977,182,64,9.578947368421053,0.6842105263157895,0.3157894736842105
46,M511106441,144,43,2.1176470588235294,0.38235294117647056,0.6176470588235294
51,M531271959,25,15,1.1904761904761905,0.6666666666666666,0.33333333333333337
53,M422047369,172,71,3.1272727272727274,0.509090909090909,0.49090909090909096
54,M234266219,38,22,1.5833333333333333,0.625,0.375
56,M049345995,184,58,1.978494623655914,0.5698924731182796,0.4301075268817204
57,M497989990,152,52,1.2991452991452992,0.46153846153846156,0.5384615384615384
58,M009032626,335,67,1.7539267015706805,0.680628272251309,0.31937172774869105
60,M931922533,208,77,1.9622641509433962,0.7169811320754716,0.28301886792452835
61,M165312283,158,60,1.4766355140186915,0.205607476635514,0.794392523364486
69,M996518031,33,10,1.5714285714285714,0.42857142857142855,0.5714285714285714
71,M705629628,794,159,4.9625,0.35625,0.64375
73,M184969427,331,103,2.1493506493506493,0.6363636363636364,0.36363636363636365
75,M741760270,56,32,2.4347826086956523,0.6521739130434783,0.34782608695652173
76,M243577483,158,61,3.3617021276595747,0.7446808510638298,0.25531914893617025
80,M558692172,50,23,3.5714285714285716,0.8571428571428571,0.1428571428571429
81,M377967939,519,182,2.180672268907563,0.5588235294117647,0.4411764705882353
82,M838446773,138,55,1.6829268292682926,0.34146341463414637,0.6585365853658536
85,M506355556,74,37,2.242424242424242,0.42424242424242425,0.5757575757575757
89,M879094374,324,137,5.311475409836065,0.36065573770491804,0.639344262295082
92,M732600894,139,56,2.2419354838709675,0.7903225806451613,0.20967741935483875
95,M856124318,767,178,9.353658536585366,0.3780487804878049,0.6219512195121951
98,M263574190,84,43,1.8666666666666667,0.3333333333333333,0.6666666666666667
102,M157204685,197,62,1.8073394495412844,0.7522935779816514,0.24770642201834858
103,M650733020,148,89,2.176470588235294,0.5735294117647058,0.42647058823529416
104,M017256273,463,121,4.097345132743363,0.7168141592920354,0.2831858407079646
105,M641186030,895,199,6.884615384615385,0.9,0.09999999999999998
107,M986125865,98,46,2.9696969696969697,0.21212121212121213,0.7878787878787878
108,M232573809,321,106,3.1782178217821784,0.25742574257425743,0.7425742574257426
109,M268811651,309,54,1.3918918918918919,0.527027027027027,0.472972972972973
110,M162681947,116,70,2.6363636363636362,0.5681818181818182,0.43181818181818177
111,M163175113,78,44,6.0,0.6153846153846154,0.3846153846153846
112,M440960058,49,30,2.130434782608696,0.17391304347826086,0.8260869565217391
113,M502480776,156,75,4.588235294117647,0.7058823529411765,0.2941176470588235
