,cust,monetary,recency,frequency,R,F,M,cluster,RFM_score,class
0,M000034966,654120.0,9.0,12.0,4,1,1,0.0,50.766930271979845,3
2,M000136117,27373630.0,2.0,70.0,4,2,2,0.0,67.17795351465323,1
3,M000201112,53120.0,34.0,5.0,4,1,1,0.0,50.766930271979845,3
4,M000225114,1937700.0,1.0,78.0,4,2,1,0.0,59.213159415457994,2
5,M000261625,6052700.0,28.0,48.0,4,1,1,0.0,50.766930271979845,3
6,M000350564,9630400.0,27.0,29.0,4,1,1,0.0,50.766930271979845,3
7,M000419293,1833500.0,38.0,39.0,4,1,1,0.0,50.766930271979845,3
8,M000494848,25624610.0,24.0,160.0,4,3,2,0.0,75.62418265813139,1
9,M000504230,1414958.0,1.0,33.0,4,1,1,0.0,50.766930271979845,3
10,M000508243,2581150.0,2.0,23.0,4,1,1,1.0,50.766930271979845,3
11,M000555652,1374020.0,48.0,16.0,3,1,1,0.0,42.17795351465323,4
12,M000557840,2157578.0,7.0,49.0,4,1,1,0.0,50.766930271979845,3
14,M000621637,16702330.0,1.0,137.0,4,3,2,1.0,75.62418265813139,1
15,M000658311,147500.0,175.0,1.0,2,1,1,2.0,33.58897675732661,4
16,M000705571,1481951.0,51.0,50.0,3,1,1,0.0,42.17795351465323,4
17,M000713279,39000.0,195.0,1.0,2,1,1,2.0,33.58897675732661,4
18,M000803099,325200.0,7.0,2.0,4,1,1,0.0,50.766930271979845,3
19,M000859319,11500.0,164.0,1.0,2,1,1,0.0,33.58897675732661,4
20,M000871427,2069780.0,14.0,53.0,4,2,1,2.0,59.213159415457994,2
22,M000986912,777430.0,11.0,48.0,4,1,1,0.0,50.766930271979845,3
23,M001080017,44300.0,153.0,1.0,2,1,1,0.0,33.58897675732661,4
24,M001086020,22800.0,315.0,1.0,1,1,1,0.0,25.0,4
26,M001231653,1511030.0,16.0,85.0,4,2,1,0.0,59.213159415457994,2
27,M001248380,992100.0,26.0,38.0,4,1,1,0.0,50.766930271979845,3
28,M001332751,2814069.0,7.0,33.0,4,1,1,1.0,50.766930271979845,3
29,M001353506,439690.0,10.0,30.0,4,1,1,0.0,50.766930271979845,3
30,M001403108,645298.0,2.0,50.0,4,1,1,2.0,50.766930271979845,3
31,M001405587,797100.0,19.0,21.0,4,1,1,0.0,50.766930271979845,3
32,M001437402,656738.0,75.0,22.0,3,1,1,3.0,42.17795351465323,4
33,M001444118,11706596.0,3.0,116.0,4,2,1,0.0,59.213159415457994,2
34,M001464035,43910.0,153.0,1.0,2,1,1,0.0,33.58897675732661,4
35,M001521411,672768.0,9.0,27.0,4,1,1,3.0,50.766930271979845,3
36,M001626218,47100.0,252.0,1.0,1,1,1,2.0,25.0,4
